id,place_name,category_name,category_group_code,category_group_name,phone,address_name,road_address_name,x,y,place_url,distance,wheelchair,animal,keyword,rate_count,rate
2070518239,숨쉼,음식점 > 카페,CE7,카페,02-363-6395,서울 서대문구 충정로3가 465,서울 서대문구 서소문로 27,126.964841553723,37.5602886740065,http://place.map.kakao.com/2070518239,,unknown,unknown,,0,0
12658298,보니케이크,음식점 > 카페 > 테마카페 > 디저트카페,CE7,카페,010-7193-3960,서울 중구 중림동 500,서울 중구 서소문로 38,126.966253986606,37.5604260376785,http://place.map.kakao.com/12658298,,unknown,unknown,,1,5.0
722263301,아재커피 충정로점,음식점 > 카페 > 커피전문점,CE7,카페,02-364-4569,서울 중구 중림동 500,서울 중구 서소문로 38,126.966217778491,37.5604044033997,http://place.map.kakao.com/722263301,,unknown,unknown,,1,5.0
889923291,카페오늘,음식점 > 카페,CE7,카페,070-8220-1621,서울 중구 중림동 500,서울 중구 서소문로 38,126.966253986606,37.5604260376785,http://place.map.kakao.com/889923291,,unknown,unknown,#카카오페이 #제로페이 ,0,0
68519103,로스터리빈스카페,음식점 > 카페,CE7,카페,070-8881-5160,서울 중구 중림동 500,서울 중구 서소문로 38,126.966217778491,37.5604044033997,http://place.map.kakao.com/68519103,,unknown,unknown,,0,0
13124724,트램트램,음식점 > 카페,CE7,카페,,서울 중구 중림동 500,서울 중구 서소문로 38,126.966217775237,37.5604116113735,http://place.map.kakao.com/13124724,,unknown,unknown,,0,0
15947734,기빙트리,음식점 > 카페,CE7,카페,02-2128-0222,서울 중구 중림동 500,서울 중구 서소문로 38,126.966217770355,37.5604224233343,http://place.map.kakao.com/15947734,,unknown,unknown,,0,0
27267711,폴바셋 한국경제신문사점,음식점 > 카페 > 커피전문점 > 폴바셋,CE7,카페,02-362-9495,서울 중구 중림동 441,서울 중구 청파로 463,126.96725682116266,37.56030738846555,http://place.map.kakao.com/27267711,,unknown,unknown,,1,5.0
504184600,드로우 에스프레소바,음식점 > 카페,CE7,카페,02-6404-8950,서울 중구 중림동 473-5,서울 중구 청파로 453,126.967958742084,37.5598390626518,http://place.map.kakao.com/504184600,,unknown,y,,15,4.8
8536196,이디야커피 중림점,음식점 > 카페 > 커피전문점 > 이디야커피,CE7,카페,02-313-5057,서울 중구 중림동 355,서울 중구 청파로 464,126.96823800023049,37.56053741069184,http://place.map.kakao.com/8536196,,unknown,unknown,,1,5.0
1558288613,카페20지,음식점 > 카페,CE7,카페,,서울 중구 중림동 471,서울 중구 청파로 457-1,126.9678114499633,37.56020662932637,http://place.map.kakao.com/1558288613,,unknown,unknown,,0,0
1472836320,쏘나타,음식점 > 카페,CE7,카페,,서울 중구 중림동 473,서울 중구 청파로 457,126.96783414804447,37.56006247600971,http://place.map.kakao.com/1472836320,,unknown,unknown,,0,0
10536363,스타벅스 순화동더샵점,음식점 > 카페 > 커피전문점 > 스타벅스,CE7,카페,,서울 중구 순화동 151,서울 중구 칠패로 27,126.971822619955,37.5600707032207,http://place.map.kakao.com/10536363,,unknown,unknown,,9,4.7
8562770,커피빈 순화동라마다호텔점,음식점 > 카페 > 커피전문점 > 커피빈,CE7,카페,02-3789-3347,서울 중구 순화동 151,서울 중구 칠패로 27,126.972044322803,37.5604203427138,http://place.map.kakao.com/8562770,,unknown,y,,0,0
1732817832,미쓰리 커피앤펍 본점,음식점 > 카페,CE7,카페,,서울 중구 순화동 151,서울 중구 칠패로 27,126.971985466053,37.560427536738,http://place.map.kakao.com/1732817832,,unknown,unknown,,1,2.0
947742737,커피코트 순화동더샵점,음식점 > 카페 > 커피전문점,CE7,카페,02-3789-8498,서울 중구 순화동 151,서울 중구 칠패로 27,126.971942537056,37.5602148912825,http://place.map.kakao.com/947742737,,unknown,unknown,#제로페이 ,1,5.0
279421598,커피기업 순화동더샵점,음식점 > 카페 > 커피전문점,CE7,카페,02-6952-7623,서울 중구 순화동 151,서울 중구 칠패로 27,126.972035326254,37.5602653691219,http://place.map.kakao.com/279421598,,unknown,unknown,#카카오페이 #제로페이 ,2,5.0
